#
# wl1 1.0 generated from template.
#
# This is an example tab-separated wordlist file that can be edited in a spreadsheet
# program or regenerated from a wordlist tool. See lexical model documentation at 
# https://help.keyman.com/developer/ for tools.
#
# Columns
# =======
# WORD	FREQUENCY	(Optional)NOTES
#
a	33032
à	6841
â	11
à̀	19091
aa	1747
àa	4191
aà	1061
àà	12
aâ	165
àâ	0
aaɨ̀buurə	5
aaron	1
aa-tsi'ì	38
àbà	64
abaa	63
àbaa	12
abàa	18
abà'a	4
àbàa	12
àbà'a	4
abaà	3
àbaà	5
abàà	9
abà'à	1
àbàà	4
àbà'à	1
abàâ	1
abà'â	1
abaà'a	3
aba'atə	3
àba'atə	1
abà'atə	2
aba'atə̀	2
àba'atə̀	1
abà'ati	1
àbabə	1
abadon	14
abagɨlə̀	4
àbagɨlə̀	1
àbagɨ̀lə̀	1
àbagɨlə̂	48
abaŋ	50
àbaŋ	9
abàŋ	12
abaŋə	4
àbaŋə	2
abaŋə̀	1
àbaŋə̀	4
àbàŋnə	5
abǎŋnə	5
abàŋnə̀	3
àbàŋnə̀	9
abaŋnənnù	20
àbaŋnənnù	1
abàŋnənnù	3
abǎŋnənnù	2
àbǎŋnənnù	1
àbàŋntə̀	2
abàŋtə̀	14
àbàŋtə̀	1
abarə	2
àbarə	1
abàrə̂	1
abàtə	7
abba	1
abɔɔ	1
abɔ'ɔ	6
abɔ̀'ɔ	2
àbɔɔ̀	1
abɔ̀'ɔ̀	2
àbɔ̀ɔ̀	1
àbɔkɛrə	2
àbɔnə̀	20
àbɔ̀ŋə	2
abɔ̀ŋəntɨɨ	18
àbɔ̀ŋəntɨɨ	1
àbɔ̀ŋentɨɨ̀	10
àbɔ̀ŋəntɨɨ̀	1
àbɔŋətɨɨ̀	1
abɔ̀ŋntɨɨ	2
abɔrəkə	1
àbɔ̀rəkə	1
abɔrəkə̀	2
abɔrɨkə	1
àbɔrɨkə	1
abɔsà	1
àbɔsà	233
abə	2
abə̂	1
abèe	5
abè'e	4
abè'è	4
àbèè	10
àbè'è	1
àbè'ə̀	1
àbè'ə̂	7
abel	3
àbəŋ	2
abəŋə	1
àbəŋə	1
abərə	27
abə̀rə	21
abə̀rə̀	22
àbə̀rə̀	1
abə̀rə̂	2
àbə̀rə̂	11
àbetə	1
abetə̀	10
àbetə̀	1
àbəzǐ	53
abɛɛ	4
abɛ̀ɛ	1
abɛ̀'ɛ	65
àbɛ̀ɛ	2
abɛ̀ɛ̀	62
àbɛ̀ɛ̀	1
àbɛ̀'ɛ̀	1
abiata	2
àbii	11
àbìì	2
àbìî	3
abɨ'ɨ	3
abɨ̀'ɨ	1
àbìintə	57
abìintɨɨ	187
àbìintɨɨ	3
abììntɨɨ	2
àbììntɨɨ	3
àbɨ'ɨntɨɨ	4
àbɨ̀'ɨntɨɨ	21
abìintɨɨ̀	98
àbìintɨɨ̀	2
abììntɨɨ̀	1
